5.6,5.6,5.71,5.71,5.71,5.71,5.71,5.71,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,6.26,6.28,6.28,6.43,6.78,6.9,6.93,6.93,7.0,7.21,7.62,8.14,8.34,8.55,8.86,8.91,9.28,9.53,10.03,10.31,10.72,11.5,11.6,11.9,11.9,12.07,12.17,12.41,12.62,12.79,13.09,13.09,13.09
5.69,5.71,5.71,5.71,5.71,5.71,5.81,6.38,6.67,6.9,6.9,7.03,7.45,8.22,9.17,9.62,9.74,9.95,10.21,10.62,10.98,11.24,11.5,12.22,12.43,12.62,12.79,12.95,13.1,13.21,13.41,13.67,13.67,13.67,13.72,13.83,14.12,14.45,14.45,14.34,14.34,13.86,13.57,13.31,12.84,12.52,11.64,11.34,10.1,8.81,7.93
5.6,5.71,6.33,6.22,6.22,6.22,5.79,5.71,5.69,5.69,5.71,6.02,6.02,6.12,6.12,6.12,6.12,6.17,6.31,6.88,7.16,7.52,8.02,8.22,9.26,9.38,9.69,9.9,10.76,10.86,11.09,11.29,11.59,12.52,12.74,13.14,13.98,14.12,14.33,14.34,14.33,14.33,14.02,13.93,13.71,13.71,13.67,13.57,13.57,13.1,12.9
5.59,5.69,5.69,5.69,5.71,6.47,6.64,6.69,7.76,7.78,8.48,9.17,9.98,10.66,11.19,11.55,12.38,13.47,13.93,13.97,14.29,14.29,14.22,14.22,13.72,13.67,13.4,13.16,13.0,12.84,12.36,12.02,11.76,11.22,10.93,10.21,9.47,9.05,7.98,7.91,7.76,7.19,7.05,7.0,6.9,6.72,6.59,6.53,6.1,5.71,5.69
4.0,5.66,5.76,5.76,5.76,5.76,5.76,5.66,5.74,5.74,5.76,6.69,6.74,7.05,7.71,8.91,9.53,10.91,11.28,12.43,13.16,13.71,14.02,14.5,14.76,14.86,14.79,14.79,14.76,14.28,13.67,13.24,13.14,13.14,13.14,13.14,13.14,12.48,11.17,11.07,9.48,8.95,8.28,7.66,7.29,6.84,6.84,6.84,6.84,6.84,6.48
5.74,5.76,5.76,5.76,5.76,5.76,5.76,6.12,6.43,6.53,7.47,8.09,8.76,9.83,11.03,11.03,11.14,11.5,12.52,12.79,12.79,13.83,13.97,13.97,13.97,13.97,13.97,14.14,14.86,14.86,14.34,14.34,14.17,14.17,14.17,13.91,13.67,13.91,13.91,13.91,12.98,12.98,12.28,11.79,11.79,9.9,9.64,8.66,8.43,7.98,7.76
